TilingFixedBox,1,1,1,0,0,0,0,0,0,WALL_TX
TilingFixedBox,320.9544,4.01193,320.9544,0,0,0,0,-7.3356,0,WALL_TX
TilingFixedBox,320.9544,16.04772,8.02386,0,0,0,0,2.2928,-160.48,WALL_TX
TilingFixedBox,320.9544,16.04772,8.02386,0,0,0,0,2.2928,160.48,WALL_TX
TilingFixedBox,320.9544,16.04772,8.023871,0,XM_PIDIV2,0,-160.48,2.2928,0,WALL_TX
TilingFixedBox,320.9544,16.04772,8.023871,0,XM_PIDIV2,0,160.48,2.2928,0,WALL_TX
TilingFixedBox,104.1978,16.04772,8.02386,0,0,0,104.9,2.2928,90.1,WALL_TX
TilingFixedBox,104.1978,16.04772,8.02386,0,0,0,-104,2.2928,-96.3,WALL_TX
TilingFixedBox,104.1978,16.04772,8.02386,0,XM_PIDIV2,0,92.5,2.2928,-108.1,WALL_TX
TilingFixedBox,104.1978,16.04772,8.02386,0,XM_PIDIV2,0,-96,2.2928,105,WALL_TX
